Prices,upPrices,downPrices,AvgGain,AvgLoss,RS,RSI
2.032768726348877,0.0,0.0,0.0,0.0,0.0,0.0
2.0507984161376958,0.018029689788818803,0.0,0.0,0.0,0.0,0.0
2.1189446449279785,0.06814622879028276,0.0,0.0,0.0,0.0,0.0
2.128723621368408,0.009778976440429688,0.0,0.0,0.0,0.0,0.0
2.0810513496398926,0.0,-0.047672271728515625,0.0,0.0,0.0,0.0
2.0724952220916752,0.0,-0.00855612754821733,0.0,0.0,0.0,0.0
2.1880083084106445,0.11551308631896928,0.0,0.0,0.0,0.0,0.0
2.219482421875,0.03147411346435547,0.0,0.0,0.0,0.0,0.0
2.194730281829834,0.0,-0.024752140045166016,0.0,0.0,0.0,0.0
2.262876033782959,0.068145751953125,0.0,0.0,0.0,0.0,0.0
2.259820938110352,0.0,-0.003055095672606978,0.0,0.0,0.0,0.0
2.2637932300567627,0.003972291946410689,0.0,0.0,0.0,0.0,0.0
2.271432876586914,0.007639646530151367,0.0,0.0,0.0,0.0,0.0
2.289156913757324,0.017724037170410156,0.0,0.0,0.0,0.0,0.0
2.2912960052490234,0.0021390914916992188,0.0,0.0,0.0,0.0,0.0
2.200536012649536,0.0,-0.0907599925994873,0.024468779563903746,0.012485401970999519,1.9597910920880746,66.21383168990755
2.2057316303253174,0.00519561767578125,0.0,0.023552060127258207,0.012485401970999519,1.8863677903173466,65.35438056942655
2.1730334758758545,0.0,-0.03269815444946289,0.018684472356523724,0.014820984431675439,1.2606768762668175,55.76546075654314
2.18128514289856,0.008251667022705522,0.0,0.018575378826686282,0.014820984431675439,1.2533161283799032,55.62096292636118
2.2035927772521973,0.02230763435363725,0.0,0.020168781280517516,0.011415822165352894,1.7667392666408135,63.85637013009426
2.2460687160491943,0.04247593879699707,0.0,0.02320277690887445,0.010804670197623085,2.147476645236133,68.22851723098402
2.261959791183472,0.015891075134277788,0.0,0.01608691896711077,0.010804670197623085,1.488885701541332,59.82137711745003
2.241485118865967,0.0,-0.020474672317505327,0.013838768005371094,0.012267146791730608,1.1281162800383158,53.01008646097122
2.2683775424957275,0.026892423629760742,0.0,0.01575965540749686,0.010499136788504464,1.5010429642894216,60.01668046977702
2.24820876121521,0.0,-0.020168781280517578,0.010892101696559362,0.011939764022827148,0.9122543524089083,47.705701454397094
2.1834237575531006,0.0,-0.06478500366210938,0.010892101696559362,0.016349043164934463,0.6662225786962759,39.98400857210548
2.1968703269958496,0.013446569442749023,0.0,0.011568835803440671,0.016349043164934463,0.7076154663444517,41.438806352537156
2.284266948699951,0.08739662170410156,0.0,0.01726576260157997,0.016349043164934463,1.0560717485052393,51.36356497641688
2.290989875793457,0.006722927093505859,0.0,0.016479969024658234,0.016349043164934463,1.0080081664965312,50.19940572528905
2.272961139678955,0.0,-0.018028736114501953,0.016327176775251147,0.01763681003025603,0.9257443237888143,48.07202661085634
2.3316335678100586,0.058672428131103516,0.0,0.0205180644989014,0.011153953416006937,1.8395329201802215,64.78294043033911
2.3239939212799072,0.0,-0.007639646530151367,0.02014694895063131,0.011699642453874892,1.7220140726572966,63.26249705888642
2.4709818363189697,0.1469879150390625,0.0,0.030646085739135773,0.009364059993198972,3.27273487796893,76.59578633918527
2.563880205154419,0.09289836883544922,0.0,0.03669227872576032,0.009364059993198972,3.9184155966973275,79.66824924938244
2.5757982730865483,0.01191806793212935,0.0,0.03595016683850976,0.009364059993198972,3.839164514603711,79.33527581089291
2.615525007247925,0.03972673416137651,0.0,0.03575379507882258,0.009364059993198972,3.8181937220383273,79.24533429558844
2.5886332988739014,0.0,-0.026891708374023438,0.03461871828351702,0.011284896305629217,3.0677037117521633,75.41610523129154
2.520792961120605,0.0,-0.06784033775329634,0.03461871828351702,0.014668158122471433,2.360127153966358,70.23922148840168
2.415365219116211,0.0,-0.10542774200439409,0.032697830881391256,0.022198711122785295,1.4729607813955203,59.56264217681251
2.325216054916382,0.0,-0.0901491641998291,0.032697830881391256,0.027197309902736118,1.2022450381426057,54.5917923446244
2.3734993934631348,0.04828333854675293,0.0,0.03614664077758789,0.022569809641156877,1.6015483228388938,61.561352090943764
2.323688745498657,0.0,-0.04981064796447798,0.035186171531677246,0.02612771306719102,1.346699247698838,57.38695527428173
2.2674601078033447,0.0,-0.056228637695312056,0.028943555695669993,0.03014404433114188,0.9601749313302442,48.98414503641445
2.210315704345703,0.0,-0.0571444034576416,0.02846334661756243,0.034225787435259135,0.8316345291223224,45.4039556417853
2.2011477947235107,0.0,-0.009167909622192383,0.02846334661756243,0.03359287125723703,0.8473031792848155,45.86703410605559
2.291907548904419,0.0907597541809082,0.0,0.030755298478262767,0.03359287125723703,0.9155305077304772,47.7951410345951
2.307492256164551,0.015584707260131836,0.0,0.03186849185398647,0.03304718221936907,0.9643331053897912,49.09213731336236
2.3047423362731934,0.0,-0.002749919891357422,0.021369355065482005,0.03324360506875174,0.6428110014328359,39.12872514684802
2.203286647796631,0.0,-0.1014556884765625,0.014733757291521345,0.04049043995993478,0.36388237090286923,26.679894004494287
2.1956470012664795,0.0,-0.007639646530151367,0.013882466724940676,0.041036128997802734,0.3382986422935752,25.278262384978532
2.0566053390502934,0.0,-0.13904166221618608,0.011044842856270927,0.05096767629895888,0.2167028920739033,17.810666308561764
2.065772294998169,0.009166955947875532,0.0,0.011699625423976321,0.04904683998652864,0.23853984124542535,19.25976325521829
2.1027481555938716,0.03697586059570268,0.0,0.01434075832366937,0.0442011015755789,0.32444345983432765,24.496588165032847
